,rang,nom_fichier_image,categorie,nom,description
,1,MOD-001.png,ART MODERNE,Arcos Carré,Ensemble de 2 tableaux carrés assortis — Art mural moderne
,2,MOD-002.png,ART MODERNE,Arcos Carré,Ensemble de 3 tableaux carrés assortis — Art mural moderne
,3,MOD-003.png,ART MODERNE,Arcos Ronde,Tableau circulaire — Art mural moderne
,4,MOD-004.png,ART MODERNE,Arcos Rectangulaire,Tableau rectangulaire — Art mural moderne
,5,MOD-005.png,ART MODERNE,Arcos Carré,Tableau carré — Art mural moderne
,6,MOD-006.png,ART MODERNE,Arcos Rectangulaire,Tableau rectangulaire — Art mural moderne
,7,MOD-007.png,ART MODERNE,Arcos Rectangulaire,Ensemble de 2 tableaux rectangulaires — Art mural moderne
,8,MOD-008.png,ART MODERNE,Arcos Rectangulaire,Ensemble de 3 tableaux rectangulaires — Art mural moderne
,9,MOD-009.png,ART MODERNE,Arcos Rectangulaire,Ensemble de 3 tableaux rectangulaires — Art mural moderne
,10,MOD-010.png,ART MODERNE,Rectangulaire,Ensemble de 2 tableaux rectangulaires — Art mural moderne
,11,MOD-011.png,ART MODERNE,Rectangulaire,Tableau rectangulaire — Art mural moderne
,12,MOD-012.png,ART MODERNE,Rectangulaire,Tableau rectangulaire — Art mural moderne
,13,MOD-013.png,ART MODERNE,Rectangulaire,Tableau rectangulaire — Art mural moderne
,14,MOD-014.png,ART MODERNE,Rectangulaire,Ensemble de 2 tableaux rectangulaires — Art mural moderne
,15,MOD-015.png,ART MODERNE,Rectangulaire,Ensemble de 3 tableaux rectangulaires — Art mural moderne
,16,MOD-016.png,ART MODERNE,Rectangulaire,Tableau rectangulaire — Art mural moderne
,17,MOD-017.png,ART MODERNE,Rectangulaire,Ensemble de 2 tableaux rectangulaires — Art mural moderne
,18,MOD-018.png,ART MODERNE,Rectangulaire,Ensemble de 2 tableaux rectangulaires — Art mural moderne
,19,MOD-019.png,ART MODERNE,Rectangulaire,Tableau rectangulaire — Art mural moderne
